央视,#genre#
CCTV7,http://172.16.149.176:9090/live/1607.m3u8
CCTV8,http://172.16.149.176:9090/live/1608.m3u8
CCTV9,http://172.16.149.176:9090/live/CCTV9HD_7000.m3u8
CCTV10,http://172.16.149.176:9090/live/1610.m3u8
CCTV11,http://172.16.149.176:9090/live/CCTV-11HD_7500.m3u8
CCTV12,http://172.16.149.176:9090/live/CCTV12HD_7000.m3u8
CCTV13,http://172.16.149.176:9090/live/1613.m3u8
CCTV14,http://172.16.149.176:9090/live/CCTV14HD_7000.m3u8
CCTV15,http://172.16.149.176:9090/live/CCTV-15HD_7500.m3u8
CCTV16,http://172.16.149.176:9090/live/1617_4500.m3u8
CCTV17,http://172.16.149.176:9090/live/CCTV17HD.m3u8
CGTN.576,http://172.16.149.176:9090/live/CCTV15news_1500.m3u8
广东卫视,http://172.16.149.176:9090/live/1401.m3u8
深圳卫视,http://172.16.149.176:9090/live/shenzhenHD_7000.m3u8
东方卫视,http://172.16.149.176:9090/live/dongfangHD_7000.m3u8
北京卫视,http://172.16.149.176:9090/live/beijingHD_7000.m3u8
湖南卫视,http://172.16.149.176:9090/live/hunanHD_7000.m3u8
江西卫视,http://172.16.149.176:9090/live/jiangxiHD_7000.m3u8
四川卫视,http://172.16.149.176:9090/live/sichuanHD_7000.m3u8
江苏卫视,http://172.16.149.176:9090/live/jiangsuHD_7000.m3u8
浙江卫视,http://172.16.149.176:9090/live/zhejiangHD_7000.m3u8
天津卫视,http://172.16.149.176:9090/live/1415_4500.m3u8
河北卫视,http://172.16.149.176:9090/live/1426_4500.m3u8
重庆卫视,http://172.16.149.176:9090/live/chongqingHD_7000.m3u8
贵州卫视,http://172.16.149.176:9090/live/guizhouHD_7000.m3u8
辽宁卫视,http://172.16.149.176:9090/live/liaoningHD_7000.m3u8
湖北卫视,http://172.16.149.176:9090/live/hubeiHD_7000.m3u8
安徽卫视,http://172.16.149.176:9090/live/anhuiHD_7000.m3u8
黑龙江卫视,http://172.16.149.176:9090/live/heilongjiangHD_7000.m3u8
吉林卫视,http://172.16.149.176:9090/live/jilinHD.m3u8
海南卫视,http://172.16.149.176:9090/live/1451_4500.m3u8
三沙卫视,http://172.16.149.176:9090/live/1453.m3u8
陕西卫视,http://172.16.149.176:9090/live/1452_4500.m3u8
东南卫视,http://172.16.149.176:9090/live/dongnanweishiHD.m3u8
山东卫视,http://172.16.149.176:9090/live/1416_4500.m3u8
河南卫视,http://172.16.149.176:9090/live/henangaoqing_3000.m3u8
广西卫视,http://172.16.149.176:9090/live/guangxi.m3u8
梨园频道,http://172.16.149.176:9090/live/1937.m3u8
武术世界,http://172.16.149.176:9090/live/1938.m3u8
文物宝库,http://172.16.149.176:9090/live/1939.m3u8
金色学堂,http://172.16.149.176:9090/live/1940.m3u8
东方财*,http://172.16.149.176:9090/live/1941.m3u8
CHC高清电影,http://172.16.149.176:9090/live/CHCHD_7000.m3u8
都市剧场,http://172.16.149.176:9090/live/dushijuchangHD_7000.m3u8
乐游,http://172.16.149.176:9090/live/quanjishiHD_7000.m3u8
求索纪录,http://172.16.149.176:9090/live/QSJLHD_7000.m3u8
求索science,http://172.16.149.176:9090/live/qiusuokexueHD_7000.m3u8
求索动物,http://172.16.149.176:9090/live/QSDWHD_7000.m3u8
求索生活,http://172.16.149.176:9090/live/1612.m3u8
魅力足球,http://172.16.149.176:9090/live/meiliyinyueHD_7000.m3u8
劲爆体育,http://172.16.149.176:9090/live/jinbaotiyuHD_7000.m3u8
新视觉,http://172.16.149.176:9090/live/xinshijuegaoqing.m3u8
游戏风云,http://172.16.149.176:9090/live/youxifengyunHD.m3u8
广东珠江,http://172.16.149.176:9090/live/gdzhujiangHD_7500.m3u8
广东体育,http://172.16.149.176:9090/live/1413.m3u8
广东新闻,http://172.16.149.176:9090/live/1454.m3u8
广东民生,http://172.16.149.176:9090/live/1455.m3u8
广东经济科教,http://172.16.149.176:9090/live/GDjingjikejiaoHD_7000.m3u8
